Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.github.docker-java,docker-java-transport,3.3.4,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,net.java.dev.jna,jna,5.13.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.apache.commons,commons-compress,1.24.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.rnorth.duct-tape,duct-tape,1.0.8,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.jetbrains,annotations,17.0.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-cache,3.2.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-context-support,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-test,3.2.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,jakarta.xml.bind,jakarta.xml.bind-api,4.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,jakarta.activation,jakarta.activation-api,2.1.2,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-test-autoconfigure,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-test,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.jayway.jsonpath,json-path,2.8.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,net.minidev,json-smart,2.5.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,net.minidev,accessors-smart,2.5.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.ow2.asm,asm,9.3,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.assertj,assertj-core,3.24.2,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,net.bytebuddy,byte-buddy,1.14.10,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.awaitility,awaitility,4.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.mockito,mockito-junit-jupiter,5.7.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.mockito,mockito-core,5.7.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,net.bytebuddy,byte-buddy-agent,1.14.10,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.objenesis,objenesis,3.3,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.skyscreamer,jsonassert,1.5.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.vaadin.external.google,android-json,0.0.20131108.vaadin1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-test,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.xmlunit,xmlunit-core,2.9.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.webjars.npm,bootstrap,5.3.2,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.h2database,h2,2.2.224,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.mysql,mysql-connector-j,8.1.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-web,3.2.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-json,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-web,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.fasterxml.jackson.datatype,jackson-datatype-jdk8,2.15.3,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-tomcat,3.2.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.apache.tomcat.embed,tomcat-embed-el,10.1.16,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.apache.tomcat.embed,tomcat-embed-websocket,10.1.16,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.apache.tomcat.embed,tomcat-embed-core,10.1.16,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework,spring-webmvc,6.1.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.springframework.boot,spring-boot-starter-data-jpa,3.2.0,true,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.hibernate.orm,hibernate-core,6.3.1.Final,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.glassfish.jaxb,jaxb-runtime,4.0.4,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.glassfish.jaxb,jaxb-core,4.0.4,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.eclipse.angus,angus-activation,2.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.glassfish.jaxb,txw2,4.0.4,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,com.sun.istack,istack-commons-runtime,4.1.2,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,jakarta.persistence,jakarta.persistence-api,3.1.0,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,jakarta.transaction,jakarta.transaction-api,2.0.1,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.jboss.logging,jboss-logging,3.5.3.Final,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,org.hibernate.common,hibernate-commons-annotations,6.0.6.Final,false,
Gradle,org.springframework.samples,spring-petclinic,3.2.0,io.smallrye,jandex,3.1.2,false,
